,video_id,comment,comment_cleaned
440,zmxJrMpIRh4,"“If two fish are fighting in a river, a long-legged Englishman has just passed by.”","“if two fish are fighting in a river, a long-legged englishman has just passed by.”"
441,zmxJrMpIRh4,"The Israel-Palestine conflict is a deeply complex and sensitive issue that has spanned decades, causing immense suffering for both Israelis and Palestinians. Finding a resolution to this conflict is crucial for peace and stability in the region.","the israel-palestine conflict is a deeply complex and sensitive issue that has spanned decades, causing immense suffering for both israelis and palestinians. finding a resolution to this conflict is crucial for peace and stability in the region."
442,zmxJrMpIRh4,Must be really horrible to live in countries that just keep going round in circles. This has been going on for decades and will just as likely still be ruining lives at the end of this century too.,must be really horrible to live in countries that just keep going round in circles. this has been going on for decades and will just as likely still be ruining lives at the end of this century too.
443,zmxJrMpIRh4,"Don't tell me that they were not expecting this after attacking Israel. 
One Bad move and You pay a heavy price!","don't tell me that they were not expecting this after attacking israel. 
one bad move and you pay a heavy price!"
444,zmxJrMpIRh4,"Thank you for this unbiased summary on the Israel-Palestine war. There are no winners in war!
I was in Israel when the war started and the people were very helpful. This I did have anxious moments, did not ever feel unsafe. My prayers are with the civilians and soldiers on both sides who inevitably become the real pawns in the war😢","thank you for this unbiased summary on the israel-palestine war. there are no winners in war!
i was in israel when the war started and the people were very helpful. this i did have anxious moments, did not ever feel unsafe. my prayers are with the civilians and soldiers on both sides who inevitably become the real pawns in the war😢"
445,zmxJrMpIRh4,"So basically uk should be held accountable, it’s their mess.","so basically uk should be held accountable, it’s their mess."
446,zmxJrMpIRh4,"No one is innocent. Each one is in blood hands. And Each nation takes sides, instead of solving this issue through peace talks. I know this is impossible, but atleast it is better than watching children die and taking sides.","no one is innocent. each one is in blood hands. and each nation takes sides, instead of solving this issue through peace talks. i know this is impossible, but atleast it is better than watching children die and taking sides."
447,zmxJrMpIRh4,Avey is so underrated..... they explain it so interestingly hats off to the team,avey is so underrated..... they explain it so interestingly hats off to the team
448,XNf40sBcvKk,"I love the fact that you are willing to be proven wrong but not with threats, or insults but with facts. We need more of this, less emotional dogmatic responses.","i love the fact that you are willing to be proven wrong but not with threats, or insults but with facts. we need more of this, less emotional dogmatic responses."
449,XNf40sBcvKk,"""nothing makes a place more holy than a competition with another religion"" - you have just provided the best line that was ever said about this conflict.","""nothing makes a place more holy than a competition with another religion"" - you have just provided the best line that was ever said about this conflict."
